"first_name","last_name","telehealth","profession","license_valid","bio","credentials","offices","insurance_providers","gender"
"Alice","Anderson","true","Licensed Professional Counselor","true","Alice Anderson is a compassionate LPC with years of experience helping individuals navigate life's challenges.","LPC","Manhattan,Brooklyn,Queens","Cigna,Elevance Health,Humana","female"
"Bob","Brown","false","Licensed Marriage and Family Therapist","true","Bob Brown specializes in family dynamics and offers in-person sessions to support healthy relationships.","LMFT","Brooklyn,The Bronx","Kaiser Permanente,Optum","male"
"Catherine","Clark","true","Licensed Clinical Social Worker","true","Catherine Clark is an LCSW providing virtual therapy, specializing in mental health and well-being.","LCSW","Manhattan,Queens,Staten Island","CVS Health,UnitedHealth Group","female"
"David","Davis","true","Psychologist","true","Dr. David Davis, a licensed psychologist, brings expertise in cognitive-behavioral therapy to support clients in their mental health journey.","Ph.D.","Manhattan,Brooklyn","Elevance Health,Humana,Optum","male"
"Elena","Evans","false","Psychiatrist","true","Dr. Elena Evans, a board-certified psychiatrist, offers comprehensive mental health care, including medication management.","M.D.","Brooklyn,Queens,The Bronx","Molina Healthcare,UnitedHealth Group","female"
"Frank","Fisher","true","Licensed Professional Clinical Counselor","true","Frank Fisher, LPCC, focuses on empowering individuals through evidence-based counseling techniques.","LPCC","Manhattan,Staten Island","CVS Health,GuideWell,Optum","male"
"Gina","Green","true","Certified Alcohol and Drug Counselor","true","Gina Green is a CADC dedicated to helping individuals overcome substance abuse and addiction.","CADC","Queens,Staten Island","Elevance Health,Humana,Optum","female"
"Henry","Harris","true","Master of Social Work","true","Henry Harris, MSW, is a skilled social worker providing support and advocacy for diverse communities.","MSW","Brooklyn,Queens,Staten Island","GuideWell,HCSC,Kaiser Permanente","male"
"Ivy","Ingram","true","Licensed Social Worker","true","Ivy Ingram, LSW, offers compassionate social work services, addressing the unique needs of each client.","LSW","Manhattan,The Bronx,Staten Island","UnitedHealth Group","female"
"James","Johnson","true","Licensed Clinical Social Worker","true","James Johnson combines clinical expertise with a warm approach, supporting clients on their mental health journey.","LCSW","Manhattan,Brooklyn,Queens","CVS Health,Elevance Health,Kaiser Permanente,Optum,UnitedHealth Group","male"
